Date,Open,High,Low,Close,Volume,Currency
2010-01-04,17.99,18.23,17.89,18.15,3853582,USD
2010-01-05,18.31,18.87,18.23,18.66,6632992,USD
2010-01-06,18.61,18.65,18.06,18.18,5047203,USD
2010-01-07,17.91,18.07,17.78,18.04,5437890,USD
2010-01-08,18.18,18.45,18.03,18.4,4055760,USD
2010-01-11,18.47,18.7,18.13,18.27,6142303,USD
2010-01-12,16.74,17.14,16.56,16.85,31922328,USD
2010-01-13,16.85,17.22,16.73,17.17,14348439,USD
2010-01-14,17.1,17.34,16.98,17.18,9111288,USD
2010-01-15,17.21,17.29,16.95,17.03,9530385,USD
2010-01-19,16.9,17.22,16.88,17.17,7652640,USD
2010-01-20,16.99,17.24,16.62,17.21,8093033,USD
2010-01-21,17.29,17.57,17.13,17.38,12838441,USD
2010-01-22,17.25,17.3,16.7,16.77,8718873,USD
2010-01-25,16.9,17.17,16.66,16.83,7703693,USD
2010-01-26,16.75,16.96,16.66,16.74,6189050,USD
2010-01-27,16.65,17.22,16.65,17.13,10948365,USD
2010-01-28,17.11,17.3,16.42,16.77,12769402,USD
2010-01-29,16.91,17.09,16.26,16.28,7559645,USD
2010-02-01,16.52,16.74,16.32,16.74,6580733,USD
2010-02-02,16.73,17.13,16.57,17.07,8117985,USD
2010-02-03,16.92,17.32,16.79,17.27,6417136,USD
2010-02-04,17.18,17.18,16.82,16.98,7194809,USD
2010-02-05,16.85,17.33,16.83,17.26,10278493,USD
2010-02-08,17.38,17.86,17.01,17.49,16170648,USD
2010-02-09,16.04,16.28,15.7,15.96,47398072,USD
2010-02-10,16.04,16.12,15.75,15.94,13679136,USD
2010-02-11,15.87,16.2,15.85,16.12,8685271,USD
2010-02-12,16.0,16.27,15.92,16.06,8433769,USD
2010-02-16,16.14,16.5,16.03,16.31,7442583,USD
2010-02-17,16.45,16.66,16.38,16.63,9097119,USD
2010-02-18,16.51,16.81,16.5,16.59,5234635,USD
2010-02-19,16.54,16.87,16.49,16.75,8940132,USD
2010-02-22,16.79,16.95,16.33,16.59,7470855,USD
2010-02-23,16.59,16.68,16.22,16.31,5673021,USD
2010-02-24,16.41,16.58,16.33,16.52,3758885,USD
2010-02-25,16.26,16.58,16.22,16.56,6468659,USD
2010-02-26,16.41,16.69,16.38,16.58,5745441,USD
2010-03-01,16.63,16.91,16.63,16.87,5875933,USD
2010-03-02,16.93,17.05,16.69,16.74,5983895,USD
2010-03-03,16.82,16.95,16.76,16.81,3319450,USD
2010-03-04,16.79,16.85,16.65,16.82,4501098,USD
2010-03-05,16.9,17.2,16.85,17.12,5399455,USD
2010-03-08,17.13,17.55,17.11,17.28,6267432,USD
2010-03-09,17.27,17.81,17.23,17.58,13646120,USD
2010-03-10,17.54,17.95,17.54,17.89,7334197,USD
2010-03-11,17.83,17.93,17.71,17.9,6244037,USD
2010-03-12,17.92,17.92,17.63,17.77,4571727,USD
2010-03-15,17.76,17.92,17.58,17.87,3721699,USD
2010-03-16,17.92,17.93,17.65,17.92,6721537,USD
2010-03-17,17.94,18.29,17.88,18.14,5720502,USD
2010-03-18,18.17,18.74,18.17,18.53,10612606,USD
2010-03-19,18.7,18.72,18.25,18.42,7823412,USD
2010-03-22,18.38,18.63,18.28,18.56,4891125,USD
2010-03-23,18.54,18.7,18.44,18.52,4377923,USD
2010-03-24,18.43,18.57,18.34,18.53,4998545,USD
2010-03-25,18.68,18.98,18.55,18.56,4655453,USD
2010-03-26,18.6,18.88,18.5,18.85,5822181,USD
2010-03-29,18.9,18.99,18.61,18.68,3019432,USD
2010-03-30,18.64,18.92,18.46,18.79,4569582,USD
2010-03-31,18.66,18.73,18.56,18.66,4220665,USD
2010-04-01,18.64,18.95,18.59,18.84,3481562,USD
2010-04-05,18.95,19.16,18.88,19.1,2815548,USD
2010-04-06,19.1,19.22,18.85,19.11,4044996,USD
2010-04-07,19.21,19.24,18.92,19.18,3707555,USD
2010-04-08,19.11,19.27,18.89,19.19,3213290,USD
2010-04-09,19.16,19.49,19.16,19.36,5426718,USD
2010-04-12,19.26,19.65,19.26,19.4,5170754,USD
2010-04-13,19.42,19.45,19.14,19.32,3536105,USD
2010-04-14,19.34,19.79,19.32,19.74,6967296,USD
2010-04-15,20.0,20.01,19.43,19.45,7064151,USD
2010-04-16,19.58,19.83,19.38,19.57,6340302,USD
2010-04-19,19.48,19.79,19.46,19.71,4242765,USD
2010-04-20,19.74,20.04,19.68,19.97,3951553,USD
2010-04-21,19.91,19.95,19.55,19.75,3946478,USD
2010-04-22,19.6,19.89,19.39,19.84,3157085,USD
2010-04-23,19.9,20.06,19.57,19.97,4102364,USD
2010-04-26,19.95,20.06,19.78,19.9,3012613,USD
2010-04-27,19.91,20.24,19.72,19.77,6267403,USD
2010-04-28,19.84,19.92,19.55,19.63,4515067,USD
2010-04-29,19.75,19.87,19.61,19.8,2975048,USD
2010-04-30,19.81,19.81,19.37,19.37,3977239,USD
2010-05-03,19.43,19.74,19.37,19.72,3496118,USD
2010-05-04,19.51,19.54,18.91,19.07,6700756,USD
2010-05-05,19.39,19.61,19.06,19.3,10251442,USD
2010-05-06,19.27,19.29,17.05,18.18,19743412,USD
2010-05-07,18.08,18.79,17.5,17.63,20257000,USD
2010-05-10,18.52,18.72,17.95,18.24,11774698,USD
2010-05-11,18.44,19.13,18.36,18.8,16994074,USD
2010-05-12,17.85,18.21,17.55,17.71,21367026,USD
2010-05-13,17.64,18.34,17.59,18.09,10053422,USD
2010-05-14,17.76,17.89,17.23,17.42,12073339,USD
2010-05-17,17.33,17.83,17.21,17.76,7510769,USD
2010-05-18,17.89,18.09,17.41,17.54,7303930,USD
2010-05-19,17.55,17.55,17.06,17.12,6915535,USD
2010-05-20,16.81,16.94,16.33,16.37,8753776,USD
2010-05-21,16.12,16.84,16.07,16.7,10463079,USD
2010-05-24,16.6,16.71,16.26,16.28,6894633,USD
2010-05-25,15.94,16.28,15.82,16.24,9440706,USD
2010-05-26,16.34,16.82,16.2,16.25,6246024,USD
2010-05-27,16.55,16.74,16.52,16.72,3833547,USD
2010-05-28,16.63,16.67,16.32,16.51,3976722,USD
2010-06-01,16.23,16.61,16.06,16.09,4917632,USD
2010-06-02,16.2,16.45,16.06,16.37,5213534,USD
2010-06-03,16.54,16.79,16.36,16.73,4381681,USD
2010-06-04,16.33,16.55,15.77,15.81,8280003,USD
2010-06-07,15.81,16.03,15.34,15.36,8390393,USD
2010-06-08,15.52,15.55,15.21,15.49,9870196,USD
2010-06-09,15.59,15.68,15.17,15.21,5191849,USD
2010-06-10,15.5,15.95,15.37,15.92,5233680,USD
2010-06-11,15.71,16.37,15.69,16.32,7047736,USD
2010-06-14,16.47,16.57,16.1,16.36,6737705,USD
2010-06-15,16.54,16.63,16.08,16.31,6393030,USD
2010-06-16,16.25,16.3,15.76,16.01,8181284,USD
2010-06-17,16.06,16.29,16.0,16.17,5267147,USD
2010-06-18,16.16,16.18,15.93,16.03,4864818,USD
2010-06-21,16.12,16.31,15.72,15.78,4565560,USD
2010-06-22,15.75,15.84,15.29,15.32,5334803,USD
2010-06-23,15.33,15.48,15.17,15.29,5233843,USD
2010-06-24,15.25,15.34,15.02,15.04,5411471,USD
2010-06-25,15.06,15.21,14.84,15.14,7173625,USD
2010-06-28,15.22,15.23,14.92,15.09,5391082,USD
2010-06-29,14.86,15.01,14.5,14.65,12872195,USD
2010-06-30,14.62,14.8,14.37,14.4,9358423,USD
2010-07-01,14.34,14.5,14.06,14.33,8927549,USD
2010-07-02,14.41,14.73,14.3,14.6,5770674,USD
2010-07-06,14.76,14.79,14.32,14.43,5367286,USD
2010-07-07,14.42,14.95,14.35,14.95,3845810,USD
2010-07-08,14.97,15.06,14.55,14.76,4982614,USD
2010-07-09,14.82,14.94,14.74,14.84,3065402,USD
2010-07-12,14.78,14.97,14.7,14.81,2911098,USD
2010-07-13,14.93,15.21,14.91,15.14,3951222,USD
2010-07-14,15.2,15.45,15.15,15.38,4127507,USD
2010-07-15,15.37,15.53,15.11,15.49,4981468,USD
2010-07-16,15.49,15.5,14.78,14.79,5501253,USD
2010-07-19,14.6,15.11,14.6,15.09,3883124,USD
2010-07-20,14.81,15.37,14.72,15.36,4981519,USD
2010-07-21,15.4,15.4,14.8,14.87,3929837,USD
2010-07-22,14.99,15.71,14.93,15.59,4735207,USD
2010-07-23,15.48,15.89,15.42,15.88,4524214,USD
2010-07-26,15.86,16.4,15.83,16.39,4327048,USD
2010-07-27,16.42,16.59,16.33,16.52,3739300,USD
2010-07-28,16.31,16.51,16.04,16.16,2763883,USD
2010-07-29,16.21,16.38,15.68,16.01,4110435,USD
2010-07-30,15.88,16.07,15.61,15.93,3533319,USD
2010-08-02,16.13,16.55,16.0,16.5,5479629,USD
2010-08-03,16.41,16.47,15.99,16.18,8178218,USD
2010-08-04,16.8,17.53,16.68,17.38,17010988,USD
2010-08-05,17.3,17.42,17.05,17.23,3678646,USD
2010-08-06,16.96,17.15,16.48,17.07,6591327,USD
2010-08-09,17.18,17.29,17.07,17.15,3755392,USD
2010-08-10,16.99,16.99,16.54,16.71,4518852,USD
2010-08-11,16.4,16.46,16.0,16.08,7091244,USD
2010-08-12,15.81,15.95,15.67,15.76,3260493,USD
2010-08-13,15.67,15.93,15.67,15.67,3102963,USD
2010-08-16,15.58,16.18,15.48,16.05,5026500,USD
2010-08-17,16.17,16.38,16.02,16.15,3830876,USD
2010-08-18,16.07,16.39,15.84,16.33,4725568,USD
2010-08-19,16.25,16.32,15.85,16.07,4671900,USD
2010-08-20,15.97,16.07,15.6,15.79,4935118,USD
2010-08-23,15.83,15.97,15.43,15.46,3195095,USD
2010-08-24,15.32,15.32,15.02,15.03,5293012,USD
2010-08-25,14.92,15.34,14.67,15.3,6536982,USD
2010-08-26,15.33,15.59,15.25,15.27,5144229,USD
2010-08-27,15.5,15.64,15.08,15.55,4565091,USD
2010-08-30,15.46,15.68,15.27,15.28,3574663,USD
2010-08-31,14.84,15.34,14.84,15.23,10499542,USD
2010-09-01,15.48,16.12,15.48,16.11,6926701,USD
2010-09-02,15.99,16.41,15.9,16.36,3653818,USD
2010-09-03,16.59,16.87,16.4,16.46,3793495,USD
2010-09-07,16.31,16.48,16.03,16.06,2899171,USD
2010-09-08,16.15,16.34,15.89,16.25,4000916,USD
2010-09-09,16.51,16.53,16.18,16.28,2034444,USD
2010-09-10,16.34,16.54,16.19,16.24,2478422,USD
2010-09-13,16.39,16.59,16.33,16.53,3104491,USD
2010-09-14,16.47,16.78,16.45,16.7,4066640,USD
2010-09-15,16.58,16.72,16.47,16.64,2522951,USD
2010-09-16,16.66,16.73,16.17,16.38,3073365,USD
2010-09-17,16.5,16.5,16.19,16.26,4078548,USD
2010-09-20,16.3,16.51,16.23,16.35,5008604,USD
2010-09-21,16.31,16.44,16.17,16.29,3114573,USD
