Date,Open,High,Low,Close,Volume,Currency
2010-01-04,30.25,30.95,30.25,30.9,105408,USD
2010-01-05,31.15,32.5,31.05,31.47,210553,USD
2010-01-06,32.9,33.4,31.81,33.15,367749,USD
2010-01-07,33.9,34.35,33.9,34.22,416643,USD
2010-01-08,34.55,34.85,34.4,34.82,441858,USD
2010-01-11,34.75,34.9,34.65,34.75,234301,USD
2010-01-12,35.7,35.7,35.29,35.4,1197418,USD
2010-01-13,35.26,35.7,35.15,35.5,581334,USD
2010-01-14,35.39,35.4,35.06,35.15,279195,USD
2010-01-15,35.0,35.15,34.5,34.82,739832,USD
2010-01-19,35.15,35.65,35.15,35.59,516616,USD
2010-01-20,35.5,35.65,34.98,35.23,397448,USD
2010-01-21,35.15,35.35,34.7,34.97,278792,USD
2010-01-22,35.15,35.5,34.95,34.97,575612,USD
2010-01-25,35.3,35.69,35.3,35.62,703866,USD
2010-01-26,35.3,35.65,35.23,35.3,572115,USD
2010-01-27,35.65,35.95,35.48,35.91,730247,USD
2010-01-28,36.75,36.8,36.28,36.5,700423,USD
2010-01-29,34.95,35.4,34.82,34.9,332209,USD
2010-02-01,35.11,35.55,35.11,35.5,210643,USD
2010-02-02,34.85,35.25,34.8,35.11,249887,USD
2010-02-03,34.6,35.0,34.4,34.5,657073,USD
2010-02-04,34.75,34.79,34.3,34.54,638602,USD
2010-02-05,33.71,34.0,33.46,33.8,248553,USD
2010-02-08,33.8,34.2,33.7,33.7,254514,USD
2010-02-09,33.5,33.95,33.5,33.67,218620,USD
2010-02-10,33.75,34.15,33.64,33.78,89751,USD
2010-02-11,33.75,34.15,33.75,34.05,88686,USD
2010-02-12,34.65,34.8,34.21,34.49,385607,USD
2010-02-16,33.75,34.2,33.75,34.14,283925,USD
2010-02-17,33.85,34.2,33.77,33.99,289504,USD
2010-02-18,33.6,33.9,28.84,33.75,169630,USD
2010-02-19,33.29,33.5,33.26,33.48,125239,USD
2010-02-22,33.3,33.75,33.18,33.4,65299,USD
2010-02-23,33.5,33.7,33.4,33.63,212533,USD
2010-02-24,33.8,33.86,33.53,33.79,210702,USD
2010-02-25,33.85,33.85,33.46,33.65,160763,USD
2010-02-26,33.6,33.9,33.6,33.87,81477,USD
2010-03-01,34.8,35.15,34.55,35.12,182848,USD
2010-03-02,35.65,36.15,35.65,36.14,177544,USD
2010-03-03,36.8,37.2,36.8,37.08,66013,USD
2010-03-04,36.88,37.25,36.88,37.25,46928,USD
2010-03-05,36.85,36.99,36.51,36.99,124140,USD
2010-03-08,37.1,37.5,37.1,37.45,84323,USD
2010-03-09,37.5,37.85,37.42,37.65,109837,USD
2010-03-10,37.75,38.15,37.75,37.99,182076,USD
2010-03-11,38.26,38.6,38.16,38.53,128993,USD
2010-03-12,38.15,38.39,38.03,38.15,120177,USD
2010-03-15,37.2,37.4,37.06,37.28,495302,USD
2010-03-16,36.87,37.25,36.85,37.1,260428,USD
2010-03-17,37.8,38.06,37.6,37.99,104506,USD
2010-03-18,37.51,37.6,37.36,37.6,659997,USD
2010-03-19,38.2,38.35,37.95,37.95,662600,USD
2010-03-22,37.95,38.4,37.95,38.38,211371,USD
2010-03-23,38.37,40.19,38.37,40.15,960074,USD
2010-03-24,41.6,42.05,41.4,41.6,701925,USD
2010-03-25,43.49,43.95,43.12,43.12,947665,USD
2010-03-26,43.25,43.66,41.52,42.28,763264,USD
2010-03-29,42.35,42.35,41.75,41.88,711409,USD
2010-03-30,42.6,42.7,42.4,42.57,199915,USD
