Date,Open,High,Low,Close,Volume,Currency
2010-01-04,10.18,10.6,10.08,10.4,3666383,USD
2010-01-05,10.38,10.49,10.11,10.47,4442345,USD
2010-01-06,10.46,10.66,10.33,10.44,2829385,USD
2010-01-07,10.39,10.43,9.99,10.39,2655430,USD
2010-01-08,10.33,10.49,10.27,10.42,2144346,USD
2010-01-11,10.5,10.82,10.41,10.68,3860796,USD
2010-01-12,10.56,10.56,10.14,10.19,2808288,USD
2010-01-13,10.25,10.37,10.05,10.36,1691067,USD
2010-01-14,10.3,10.38,10.12,10.15,1403481,USD
2010-01-15,10.2,10.29,9.92,10.08,2084442,USD
2010-01-19,10.06,10.25,9.83,9.95,3223564,USD
2010-01-20,9.9,9.98,9.53,9.73,3587558,USD
2010-01-21,9.81,9.89,9.36,9.37,2600511,USD
2010-01-22,9.88,9.88,9.25,9.29,2730276,USD
2010-01-25,9.3,9.35,8.97,9.12,3343631,USD
2010-01-26,9.06,9.29,9.06,9.2,2461653,USD
2010-01-27,9.15,9.37,9.13,9.33,1938351,USD
2010-01-28,9.34,9.42,9.08,9.28,1947391,USD
2010-01-29,9.75,9.75,9.25,9.28,4289516,USD
2010-02-01,9.29,9.41,9.28,9.34,1713190,USD
2010-02-02,9.32,9.4,9.2,9.34,1847270,USD
2010-02-03,9.33,9.82,9.33,9.6,4273236,USD
2010-02-04,9.55,9.76,9.15,9.25,2638266,USD
2010-02-05,9.27,9.35,9.09,9.29,2604182,USD
2010-02-08,9.33,9.54,9.18,9.45,1760663,USD
2010-02-09,9.56,9.66,9.35,9.52,1960167,USD
2010-02-10,9.5,9.74,9.48,9.71,1729495,USD
2010-02-11,9.64,9.96,9.57,9.86,1770921,USD
2010-02-12,9.74,9.75,9.5,9.65,1385302,USD
2010-02-16,9.7,9.83,9.57,9.75,1072110,USD
2010-02-17,9.79,9.93,9.63,9.66,2178426,USD
2010-02-18,9.68,9.69,9.5,9.64,1522982,USD
2010-02-19,9.59,9.68,9.41,9.5,1641523,USD
2010-02-22,9.52,9.57,9.19,9.24,2405156,USD
2010-02-23,9.24,9.33,9.14,9.32,1630253,USD
2010-02-24,9.32,9.34,9.16,9.22,1390238,USD
2010-02-25,9.12,9.28,9.03,9.28,1538393,USD
